Rank,Player,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners
1,Michael Olise,7,5,20,0,10,10,0,2.34,0x,25
2,Martin Odegaard,4,3,9,0,5,4,0,0.72,0x,12
2,Kylian Mbappe,4,23,41,24,27,14,0,6.54,1.53x,5
2,Brahim Diaz,4,1,6,0,4,2,0,0.31,0x,1
2,Bruno Guimaraes,4,2,8,0,5,3,1,1.02,0x,8
2,Lionel Messi,4,19,35,23,16,19,0,6.18,1.29x,38
7,Roberto Alvarado,3,0,5,0,2,3,0,0.28,0x,14
7,Anthony Gordon,3,4,6,17,6,0,2,0.7,1.43x,0
7,Florian Wirtz,3,1,10,0,5,5,0,0.97,0x,5
7,Andreas Schjelderup,3,2,3,33,3,0,0,0.2,5.12x,0
7,Bukayo Saka,3,7,13,23,11,2,1,1.72,1.74x,5
7,Alexander Isak,3,6,8,13,5,3,1,0.68,1.48x,0
13,Chris Wood,2,2,5,0,3,2,2,0.47,0x,0
13,Johan Manzambi,2,3,6,50,4,2,0,0.63,4.73x,0
13,Breel Embolo,2,5,10,20,8,2,2,2.58,0.78x,0
13,Dani Olmo,2,2,13,0,7,6,2,1.16,0x,0
13,Marc Cucurella,2,3,5,0,3,2,1,0.35,0x,0
13,Viktor Gyokeres,2,6,12,8,9,3,0,1.39,0.72x,0
13,Nicolas Raskin,2,1,2,0,2,0,1,0.13,0x,0
13,Patrick Berg,2,0,3,0,0,3,0,0.29,0x,10
13,Joshua Kimmich,2,1,5,0,1,4,0,0.15,0x,15
13,Hans Vanaken,2,1,5,20,4,1,0,0.64,1.56x,0
13,Leandro Trossard,2,4,17,12,10,7,0,1.67,1.2x,0
13,Deniz Undav,2,4,6,50,5,1,0,1.43,2.1x,0
13,Crysencio Summerville,2,2,2,100,1,1,0,0.16,12.33x,3
13,Ryan Gravenberch,2,0,5,0,2,3,0,0.25,0x,0
13,Ousmane Dembele,2,10,20,30,13,7,1,2.1,2.86x,17
13,Denzel Dumfries,2,2,5,0,4,1,2,0.44,0x,0
13,Declan Rice,2,3,6,17,3,3,1,0.31,3.23x,30
13,Houssem Aouar,2,1,3,0,1,2,0,0.24,0x,0
13,Julio Enciso,2,1,8,13,6,2,1,0.74,1.36x,2
13,Nathan Saliba,2,1,3,33,1,2,1,0.3,3.36x,0
13,Achraf Hakimi,2,4,14,7,6,8,0,0.96,1.04x,21
13,Hannibal Mejbri,2,1,3,0,0,3,0,0.06,0x,4
13,Mohamed Salah,2,4,9,11,7,2,1,0.95,1.05x,15
13,Iliman Ndiaye,2,2,3,33,2,1,0,0.21,4.76x,0
37,Mohamed Hany,1,0,4,0,0,4,0,0.09,0x,0
37,Mostafa Zico,1,3,8,25,7,1,2,1.1,1.82x,0
37,Wilfried Singo,1,0,2,0,2,0,0,0.14,0x,0
37,Sadio Mane,1,3,6,0,4,2,0,0.58,0x,1
37,Ernest Nuamah,1,0,0,0,0,0,0,0,0x,0
37,Chadi Riad,1,0,1,0,1,0,1,0.12,0x,0
37,Promise David,1,3,5,20,3,2,1,0.75,1.34x,0
37,Moussa Niakhate,1,0,1,0,1,0,1,0.06,0x,0
37,Jean Kevin Duverne,1,0,1,0,1,0,0,0.03,0x,0
37,Nicolas Jackson,1,3,7,0,6,1,2,0.56,0x,0
37,Ismaila Sarr,1,6,17,24,15,2,2,3.68,1.09x,0
37,Nicolas Pepe,1,3,6,33,5,1,0,1.42,1.41x,6
37,Soufiane Rahimi,1,4,6,33,5,1,2,1.59,1.26x,0
37,Chemsdine Talbi,1,0,2,0,1,1,0,0.05,0x,0
